443746199 920542 546998 188767 7059 150723 
443746422 965949 585782 199845 7501 160069 
443746638 757116 451052 153689 5668 122285 
443746855 75142 48125 16794 560 12743 
443746966 820509 489049 165327 6238 132088 
443747189 685898 409080 139205 5203 111670 
443747411 531403 320151 109159 3916 84069 
443747631 365812 229644 80314 2829 62836 
443747840 891650 552157 189721 6892 148691 
443748042 619766 379774 131259 4752 103648 
443748248 1.15764e+06 625536 201896 8185 164107 
443748593 1.05042e+06 444172 120471 6405 109462 
443749146 927215 383898 102957 5578 93634 
443749719 719777 296762 80747 4289 73769 
443750295 882961 398106 116925 5654 104476 
443750758 1.90395e+06 1.98648e+06 763073 3742 81280 
443750894 1245 599 198 8 181 
443750928 1.79314e+06 1.72065e+06 384598 4761 55490 
443750962 2.75935e+06 3.3178e+06 1.03215e+06 4879 95690 
443750993 1.42313e+06 1.59174e+06 461702 2707 50471 
443751023 1.14437e+06 1.27132e+06 443161 6264 137299 
443751070 880667 985188 353262 4041 89435 
443751117 918610 1.01608e+06 356550 5536 121041 
443751163 960465 1.06593e+06 374318 5238 115510 
443751207 1.20609e+06 1.33695e+06 466703 6738 149167 
443751259 2.83581e+06 3.23893e+06 1.16455e+06 10672 235825 
443751370 608945 693808 256326 2786 65655 
443751407 339332 389715 146592 1186 27730 
443751445 483923 552147 197545 2262 50304 
443751482 875121 1.01824e+06 365110 2810 61616 
443751519 2.89836e+06 3.3615e+06 1.21741e+06 8718 197922 
443751556 1.04581e+06 1.20487e+06 434808 3685 82748 
443751593 496120 571235 204947 2294 52606 
443751628 390049 445587 159310 1998 45344 
443751665 592470 678011 252795 2410 54295 
443751702 3.48253e+06 4.03277e+06 1.46744e+06 11595 259833 
443751740 2.0807e+06 2.3954e+06 878543 8014 181940 
443751778 538412 615151 230359 2152 51059 
443751816 2.83391e+06 3.29615e+06 1.20058e+06 7276 165600 
443751855 1.26422e+06 1.46905e+06 526222 4149 93521 
443751930 621740 719854 257830 2467 53934 
443751968 94703 104897 37261 646 14538 
443756673 986918 459984 135394 4666 85453 
443756767 361702 162225 46722 1841 33491 
443756861 475741 222123 64673 2393 43684 
443756954 948347 445420 131592 4665 85134 
443757045 1.25981e+06 584786 170507 5969 109587 
443757134 1.35147e+06 632002 185107 6806 123750 
443757232 899596 409861 118940 4400 80888 
443757326 1.33963e+06 622263 181989 6530 120090 
443757417 737535 345410 102023 3608 67154 
443757509 789259 365682 106951 3928 70314 
443757604 538099 249631 73096 2712 49347 
443757698 877287 407477 120168 4154 76670 
443757793 2.00999e+06 938616 275425 9616 175534 
443757886 903902 423519 124904 4193 77493 
443757982 1.17427e+06 540965 157687 5923 105356 
443760537 681215 631823 107886 21303 0 
443760558 1.05744e+06 970271 161487 47038 0 
443760623 378387 346782 56347 16708 0 
443760675 975291 892060 146416 50192 0 
443760717 887643 815665 138835 39227 0 
443760759 1.91171e+06 1.74666e+06 288284 90637 0 
443760802 528948 487348 83255 22394 0 
443760844 1.7279e+06 1.57781e+06 262052 11848 118796 
443760955 1.91549e+06 1.7612e+06 293244 12551 125435 
443761007 507785 461588 80418 3418 36130 
443761060 2.1948e+06 2.01607e+06 337044 14686 147466 
443761116 1.36123e+06 1.245e+06 209142 8850 87627 
443761169 1.70819e+06 1.56195e+06 259246 11327 112996 
443761223 1.0159e+06 921449 150602 7121 70767 
443761276 858990 786176 135949 5255 54047 
443761331 2.37218e+06 2.17246e+06 363938 15581 156855 
443761383 1.56684e+06 1.4389e+06 241179 10201 102637 
443761436 45020 38941 6707 405 4346 
443761491 157096 133813 21923 1272 13014 
443761543 2.31957e+06 2.12495e+06 357474 14945 150643 
443761595 1.64369e+06 1.51058e+06 251418 10587 105383 
443761647 360777 326363 57316 2629 27280 
443761700 1.47597e+06 1.35159e+06 224278 9988 100471 
443761752 2.75781e+06 2.53141e+06 424823 18093 183197 
443761807 1.45537e+06 1.3359e+06 231054 8834 92303 
443761859 96555 83234 13311 749 7162 
443761911 1.20982e+06 1.10822e+06 185391 8544 84236 
443761965 586613 524588 88598 4276 43224 
443762018 331962 301342 49323 2261 22335 
443762071 1.44939e+06 1.32657e+06 221684 9868 99994 
443762125 2.20294e+06 2.01961e+06 338005 14694 149757 
443762177 1.80721e+06 1.63741e+06 268912 12437 123862 
443762230 1.73302e+06 1.58797e+06 263382 11202 111573 
443762282 684769 620138 108601 4777 49514 
443762334 1.26753e+06 1.15603e+06 193200 8698 87525 
443762389 340392 310598 50063 2640 26110 
443762441 1.03272e+06 949884 160108 6748 68970 
443762493 1.29447e+06 1.17586e+06 192273 8940 88361 
443762545 2.23825e+06 2.04153e+06 336502 15780 156473 
443762601 580853 526934 86137 4165 40339 
443762654 1.56323e+06 1.4162e+06 233851 10569 105055 
443762799 2.46231e+06 2.26222e+06 386664 14624 148836 
443762856 1.52629e+06 1.39496e+06 232773 10256 102709 
443762940 2.59321e+06 2.37263e+06 396069 119064 0 
443762982 2.06878e+06 1.89836e+06 318155 50313 60766 
443763034 1.6817e+06 1.54678e+06 263688 10266 104654 
443763086 836088 758505 123607 6140 61710 
443763141 1.45717e+06 1.3244e+06 223213 9816 100819 
443763194 1.09787e+06 1.00179e+06 166249 7446 73968 
443763246 2.00113e+06 1.8297e+06 307589 13532 136695 
443763301 2.5251e+06 2.31793e+06 388139 16324 164196 
443763405 647161 580271 96467 4553 45902 
443763457 2.10805e+06 1.91667e+06 323858 14291 145492 
443763509 599878 538253 89339 4209 42243 
443763561 1.74987e+06 1.59819e+06 265518 12260 122619 
443763613 2.16568e+06 1.99007e+06 333001 14000 140374 
443763664 1.65823e+06 1.51699e+06 253143 11152 112778 
443763716 589815 532397 94147 3699 39371 
443763767 1.57729e+06 1.45015e+06 243000 9892 99640 
443763818 3.43244e+06 3.1461e+06 526175 21208 215407 
443763870 2.31616e+06 2.12804e+06 354372 15182 151306 
443763922 2.94855e+06 2.69537e+06 452232 19073 194149 
443763973 4.11989e+06 3.77324e+06 641545 26583 273962 
443764025 1.50287e+06 1.37928e+06 232415 9422 93970 
443764075 2.15353e+06 1.97257e+06 328455 13705 138877 
443764129 1.78287e+06 1.64402e+06 276678 11086 111305 
443764185 1.10859e+06 1.02291e+06 173172 6876 70372 
443764237 928391 849508 143713 6408 65118 
443764290 12167 2886 443 39 363 
443764340 563185 518589 86539 3580 35960 
443764387 1.17971e+06 1.07333e+06 175010 8156 81115 
443764434 1.63345e+06 1.48121e+06 243724 11953 119305 
443764477 881224 808712 139973 5495 57284 
443764526 1.45012e+06 1.32248e+06 222684 8955 90374 
443764577 681421 613800 104764 4773 49406 
443764633 1.64339e+06 1.50118e+06 252303 11070 110573 
443764688 1.40288e+06 1.27789e+06 214170 9321 93450 
443764741 2.1115e+06 1.91474e+06 315750 14868 147493 
443764798 2.20978e+06 2.02721e+06 341989 14073 143363 
443764853 670695 609111 101313 4898 48165 
443764909 1.29726e+06 1.18793e+06 203730 8273 85703 
443764961 1.26741e+06 1.15737e+06 192390 8840 88565 
443765013 2.57233e+06 2.38146e+06 396005 15338 153080 
443765065 747954 682845 114057 5162 51493 
443765117 222386 202294 35395 1547 16112 
443765172 2.1871e+06 2.00107e+06 337002 14970 150501 
443765225 1.11878e+06 1.00504e+06 169014 7805 77974 
443765280 2.42712e+06 2.23004e+06 379310 14848 152829 
443765332 2.93702e+06 2.69878e+06 450516 18850 190068 
443765386 1.06043e+06 960655 162024 7664 77692 
443765440 588686 521617 90157 4349 44744 
443765493 473517 428550 70539 3421 33905 
443765548 1.49221e+06 1.35354e+06 227217 10516 106460 
443765601 857143 777653 130874 6046 61760 
443765656 1.09466e+06 1.00732e+06 165994 7154 71269 
443765709 1.09018e+06 996743 167404 7435 74845 
443765764 2.49236e+06 2.26565e+06 375411 16651 166228 
443765817 640576 580336 101479 4459 47161 
443765873 1.88777e+06 1.72901e+06 289054 12735 128837 
443765929 1.21038e+06 1.10848e+06 186078 7904 80266 
443766021 2.0158e+06 1.84342e+06 303362 99384 0 
443766064 474186 427873 70324 33992 0 
443766104 1.37673e+06 1.26178e+06 211665 52424 0 
443766150 1.91326e+06 1.73754e+06 293210 13003 133575 
443766204 2.3192e+06 2.11683e+06 356405 16001 161706 
443766258 1.78971e+06 1.63979e+06 280707 10964 113383 
443766310 2.33345e+06 2.14185e+06 364298 15220 156439 
443766365 1.73839e+06 1.59159e+06 264439 11091 111120 
443766418 1.37288e+06 1.25813e+06 211402 9091 91670 
443766474 2.24292e+06 2.05992e+06 340731 14726 148028 
