443746199 920542 546998 188767 0 7059 150723
443746422 965949 585782 199845 0 7501 160069
443746638 757116 451052 153689 0 5668 122285
443746855 75142 48125 16794 0 560 12743
443746966 820509 489049 165327 0 6238 132088
443747189 685898 409080 139205 0 5203 111670
443747411 531403 320151 109159 0 3916 84069
443747631 365812 229644 80314 0 2829 62836
443747840 891650 552157 189721 0 6892 148691
443748042 619766 379774 131259 0 4752 103648
443748248 1.15764e+06 625536 201896 0 8185 164107
443748593 1.05042e+06 444172 120471 0 6405 109462
443749146 927215 383898 102957 0 5578 93634
443749719 719777 296762 80747 0 4289 73769
443750295 882961 398106 116925 0 5654 104476
443750758 1.90395e+06 1.98648e+06 763073 0 3742 81280
443750894 1245 599 198 0 8 181
443750928 1.79314e+06 1.72065e+06 384598 0 4761 55490
443750962 2.75935e+06 3.3178e+06 1.03215e+06 0 4879 95690
443750993 1.42313e+06 1.59174e+06 461702 0 2707 50471
443751023 1.14437e+06 1.27132e+06 443161 0 6264 137299
443751070 880667 985188 353262 0 4041 89435
443751117 918610 1.01608e+06 356550 0 5536 121041
443751163 960465 1.06593e+06 374318 0 5238 115510
443751207 1.20609e+06 1.33695e+06 466703 0 6738 149167
443751259 2.83581e+06 3.23893e+06 1.16455e+06 0 10672 235825
443751370 608945 693808 256326 0 2786 65655
443751407 339332 389715 146592 0 1186 27730
443751445 483923 552147 197545 0 2262 50304
443751482 875121 1.01824e+06 365110 0 2810 61616
443751519 2.89836e+06 3.3615e+06 1.21741e+06 0 8718 197922
443751556 1.04581e+06 1.20487e+06 434808 0 3685 82748
443751593 496120 571235 204947 0 2294 52606
443751628 390049 445587 159310 0 1998 45344
443751665 592470 678011 252795 0 2410 54295
443751702 3.48253e+06 4.03277e+06 1.46744e+06 0 11595 259833
443751740 2.0807e+06 2.3954e+06 878543 0 8014 181940
443751778 538412 615151 230359 0 2152 51059
443751816 2.83391e+06 3.29615e+06 1.20058e+06 0 7276 165600
443751855 1.26422e+06 1.46905e+06 526222 0 4149 93521
443751892 0 0 0 0 0 0
443751930 621740 719854 257830 0 2467 53934
443751968 94703 104897 37261 0 646 14538
443756673 986918 459984 135394 0 4666 85453
443756767 361702 162225 46722 0 1841 33491
443756861 475741 222123 64673 0 2393 43684
443756954 948347 445420 131592 0 4665 85134
443757045 1.25981e+06 584786 170507 0 5969 109587
443757134 1.35147e+06 632002 185107 0 6806 123750
443757232 899596 409861 118940 0 4400 80888
443757326 1.33963e+06 622263 181989 0 6530 120090
443757417 737535 345410 102023 0 3608 67154
443757509 789259 365682 106951 0 3928 70314
443757604 538099 249631 73096 0 2712 49347
443757698 877287 407477 120168 0 4154 76670
443757793 2.00999e+06 938616 275425 0 9616 175534
443757886 903902 423519 124904 0 4193 77493
443757982 1.17427e+06 540965 157687 0 5923 105356
443760481 0 0 0 0 0 0
